source,taxon_code,scientific_name,common_name,rank,species_code,species_scientific_name,species_common_name,genus_code,genus_scientific_name,genus_common_name,family_code,family_scientific_name,family_common_name,order_code,order_scientific_name,order_common_name,class_code,class_scientific_name,class_common_name,loaded_timestamp
1,rebnut,sitta canadensis,red-breasted nuthatch,species,rebnut,sitta canadensis,red-breasted nuthatch,,,,sittid1,sittidae,nuthatches,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,bawwar,mniotilta varia,black-and-white warbler,species,bawwar,mniotilta varia,black-and-white warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,norfli,colaptes auratus,northern flicker,species,norfli,colaptes auratus,northern flicker,,,,picida1,picidae,woodpeckers,,piciformes,,,Aves,Birds,2025-12-13 12:29:31
1,magwar,setophaga magnolia,magnolia warbler,species,magwar,setophaga magnolia,magnolia warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,norwat,parkesia noveboracensis,northern waterthrush,species,norwat,parkesia noveboracensis,northern waterthrush,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,btbwar,setophaga caerulescens,black-throated blue warbler,species,btbwar,setophaga caerulescens,black-throated blue warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,eawpew,contopus virens,eastern wood-pewee,species,eawpew,contopus virens,eastern wood-pewee,,,,tyrann2,tyrannidae,tyrant flycatchers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,canwar,cardellina canadensis,canada warbler,species,canwar,cardellina canadensis,canada warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,dowwoo,dryobates pubescens,downy woodpecker,species,dowwoo,dryobates pubescens,downy woodpecker,,,,picida1,picidae,woodpeckers,,piciformes,,,Aves,Birds,2025-12-13 12:29:31
1,purfin,haemorhous purpureus,purple finch,species,purfin,haemorhous purpureus,purple finch,,,,fringi1,fringillidae,"finches, euphonias, and allies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,daejun,junco hyemalis,dark-eyed junco,species,daejun,junco hyemalis,dark-eyed junco,,,,passer3,passerellidae,new world sparrows,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,btnwar,setophaga virens,black-throated green warbler,species,btnwar,setophaga virens,black-throated green warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,woothr,hylocichla mustelina,wood thrush,species,woothr,hylocichla mustelina,wood thrush,,,,turdid1,turdidae,thrushes and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,aldfly,empidonax alnorum,alder flycatcher,species,aldfly,empidonax alnorum,alder flycatcher,,,,tyrann2,tyrannidae,tyrant flycatchers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,comrav,corvus corax,common raven,species,comrav,corvus corax,common raven,,,,corvid1,corvidae,"crows, jays, and magpies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,bkcchi,poecile atricapillus,black-capped chickadee,species,bkcchi,poecile atricapillus,black-capped chickadee,,,,parida1,paridae,"tits, chickadees, and titmice",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,pinwar,setophaga pinus,pine warbler,species,pinwar,setophaga pinus,pine warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,scatan,piranga olivacea,scarlet tanager,species,scatan,piranga olivacea,scarlet tanager,,,,cardin1,cardinalidae,cardinals and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,ovenbi1,seiurus aurocapilla,ovenbird,species,ovenbi1,seiurus aurocapilla,ovenbird,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
