id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,latitude,longitude,quality_grade,observation_photo
302588169,2025-07-30T12:39:04-04:00,47588,Cypripedium acaule,pink lady's slipper,species,True,False,"Sunburn River Valley Lane, Greenwood, ME, US",44.3323666667,-70.7534633333,research,https://static.inaturalist.org/photos/545336771/square.jpg
302587880,2025-07-30T12:43:35-04:00,136399,Pleurotus pulmonarius,pale oyster,species,False,False,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321416667,-70.75235,needs_id,https://static.inaturalist.org/photos/545336179/square.jpg
299925016,2025-07-21T15:31:25-04:00,417398,Turbinellus floccosus,Scaly Chanterelle,species,True,False,"Sunburn River Valley Lane, Greenwood, ME, US",44.333739888,-70.7521552102,needs_id,https://static.inaturalist.org/photos/540363605/square.jpg
299923041,2025-07-21T15:24:46-04:00,125389,Amanita flavoconia,Yellow Patches,species,True,False,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321741352,-70.7517509424,needs_id,https://static.inaturalist.org/photos/540359920/square.jpg
299919162,2025-07-21T15:09:43-04:00,118273,Psathyrella piluliformis,Common Stump Brittlestem,species,True,False,"Greenwood, ME, US",44.3324829631,-70.7556802783,needs_id,https://static.inaturalist.org/photos/540352402/square.jpg
299917091,2025-07-21T15:03:02-04:00,84330,Caulophyllum thalictroides,blue cohosh,species,True,False,"Greenwood, ME, US",44.3341341175,-70.7587098255,needs_id,https://static.inaturalist.org/photos/540349176/square.jpg
299915205,2025-07-21T14:56:36-04:00,371588,Russula paludosa,Hintapink,species,True,False,"Albany Twp, ME, US",44.3339492679,-70.7585653038,needs_id,https://static.inaturalist.org/photos/540345550/square.jpg
299913285,2025-07-21T14:49:50-04:00,49477,Monotropa uniflora,Ghost Pipe,species,True,False,"Vernon St, Albany Twp, ME, US",44.3357045461,-70.7617415073,research,https://static.inaturalist.org/photos/540341840/square.jpg
298678452,2025-07-11T16:28:50-04:00,417398,Turbinellus floccosus,Scaly Chanterelle,species,True,False,"South Oxford, ME 04217, USA",44.3320757997,-70.7519551997,needs_id,https://static.inaturalist.org/photos/538029898/square.jpg
298678401,2025-07-11T16:25:54-04:00,120181,Oclemena acuminata,whorled wood aster,species,True,False,"South Oxford, ME 04217, USA",44.3319147997,-70.7529478997,needs_id,https://static.inaturalist.org/photos/538029765/square.jpg
298678359,2025-07-11T16:23:33-04:00,49490,Cladonia,pixie cup and reindeer lichens,genus,True,False,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,needs_id,https://static.inaturalist.org/photos/538029714/square.jpg
298678335,2025-07-11T16:23:26-04:00,49490,Cladonia,pixie cup and reindeer lichens,genus,True,False,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,needs_id,https://static.inaturalist.org/photos/538029662/square.jpg
