id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,location_name,latitude,longitude,obs_validity,observation_photo,loaded_timestamp,source
309976615,2025-08-02T13:58:03-04:00,417398,Turbinellus floccosus,Scaly Chanterelle,species,True,False,"Oxford County, US-ME, US",Long Mountain Trail,44.3322342,-70.75488213,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/580987094/square.jpg,2025-12-01 12:25:57,2
303586692,2025-08-03T15:01:23-04:00,351318,Lactifluus deceptivus,Deceptive Milky,species,False,False,"Albany Twp, ME, US",Long Mountain Trail,44.3354116667,-70.759955,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/547200256/square.jpg,2025-12-01 12:25:57,2
303586528,2025-08-03T15:02:13-04:00,119828,Aralia nudicaulis,wild sarsaparilla,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.33517,-70.7595833333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/547200116/square.jpg,2025-12-01 12:25:57,2
303586404,2025-08-03T15:06:05-04:00,63058,Osmunda claytoniana,interrupted fern,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.333545,-70.7579716667,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/547199823/square.jpg,2025-12-01 12:25:57,2
302908523,2025-08-01T08:19:29-04:00,1002684,Osmunda spectabilis,American Royal Fern,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.333545,-70.75802,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545924441/square.jpg,2025-12-01 12:25:57,2
302908252,2025-08-01T08:23:10-04:00,48711,Lobaria pulmonaria,Tree Lungwort,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3333083333,-70.75647,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545924082/square.jpg,2025-12-01 12:25:57,2
302904612,2025-08-01T08:30:05-04:00,136399,Pleurotus pulmonarius,pale oyster,species,False,False,"Sunburn River Valley Lane, Greenwood, ME, US",Long Mountain Trail,44.33208,-70.75235,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/545916843/square.jpg,2025-12-01 12:25:57,2
302904328,2025-08-01T08:37:47-04:00,54067,Marasmius,pinwheels and parachute mushrooms,genus,False,False,"Greenwood, ME, US",Long Mountain Trail,44.3305083333,-70.7500083333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/545916514/square.jpg,2025-12-01 12:25:57,2
302839386,2025-08-01T08:08:28-04:00,204165,Osmundastrum cinnamomeum,cinnamon fern,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3356783333,-70.7600033333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545797948/square.jpg,2025-12-01 12:25:57,2
302837246,2025-08-01T07:49:22-04:00,62351,Lobelia inflata,Indian tobacco,species,True,False,"Vernon St, Albany Twp, ME, US",Long Mountain Trail,44.3355966667,-70.76132,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545793282/square.jpg,2025-12-01 12:25:57,2
302836464,2025-08-01T07:47:31-04:00,50879,Erigeron,fleabanes and horseweeds,genus,True,False,"Vernon St, Albany Twp, ME, US",Long Mountain Trail,44.335599777,-70.7613195156,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/545791965/square.jpg,2025-12-01 12:25:57,2
302835993,2025-08-01T07:44:25-04:00,54805,Fraxinus americana,white ash,species,True,True,"Vernon St, Albany Twp, ME, US",Long Mountain Trail,44.3357099772,-70.7614786256,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/545790946/square.jpg,2025-12-01 12:25:57,2
302835835,2025-08-01T07:43:25-04:00,167829,Rhus typhina,staghorn sumac,species,True,False,"Vernon St, Albany Twp, ME, US",Long Mountain Trail,44.3357307055,-70.7612612629,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545790566/square.jpg,2025-12-01 12:25:57,2
302835639,2025-08-01T07:42:04-04:00,58721,Larix laricina,tamarack,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3357161526,-70.7613591292,research,https://inaturalist-open-data.s3.amazonaws.com/photos/545790292/square.jpg,2025-12-01 12:25:57,2
