id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
14245923,09a9d655-37a4-4479-8985-a10bcf7b0fce,2018-07-08 10:42:22 AM EDT,2018-07-08,2018-07-08 14:42:22 UTC,Eastern Time (US & Canada),682454,nitidifrons,Molly Garson,2018-07-11 00:55:35 UTC,2018-07-21 18:45:25 UTC,needs_id,,https://www.inaturalist.org/observations/14245923,https://static.inaturalist.org/photos/21142669/medium.jpeg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3306840841,-70.7597881928,263,,,,263,,,false,gps,gps,Chalciporus,Chalciporus,,Fungi,118365
25830446,b9725ff5-7894-4382-a46b-ebb121155577,Sun May 26 2019 16:32:04 GMT-0400 (EDT),2019-05-26,2019-05-26 20:32:04 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2019-05-26 20:32:59 UTC,2023-12-16 14:54:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/25830446,https://inaturalist-open-data.s3.amazonaws.com/photos/40522985/medium.jpg,,"",,1,0,false,3,"Oxford County, US-ME, US",44.3312736182,-70.7513240632,5,,,,5,,open,false,,,pink lady's slipper,Cypripedium acaule,pink lady's slipper,Plantae,47588
28888281,5419c443-845b-44e1-96cf-78579d940665,2019-07-15 1:13:35 PM EDT,2019-07-15,2019-07-15 17:13:35 UTC,Eastern Time (US & Canada),1815976,tazzy1,,2019-07-15 20:26:52 UTC,2019-08-28 19:23:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28888281,https://inaturalist-open-data.s3.amazonaws.com/photos/45057418/medium.jpeg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3337097168,-70.7574462891,,,,,,,,false,gps,gps,Greater Purple Fringed Orchid,Platanthera grandiflora,Greater Purple Fringed Orchid,Plantae,132322
30983827,86fc3181-7e2f-4082-bf79-d851aed4caa0,Thu Oct 04 2018 17:37:47 GMT-0400 (EDT),2018-10-04,2018-10-04 21:37:47 UTC,Eastern Time (US & Canada),2089111,kater66,Kate Rideout,2019-08-17 12:26:49 UTC,2019-08-17 12:27:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/30983827,https://inaturalist-open-data.s3.amazonaws.com/photos/48446214/medium.jpg,,"",,0,0,false,3,"04255, Greenwood, ME, US",44.334,-70.758575,5,,,,5,,,false,,,,Pleurocybella porrigens,angel's wings,Fungi,48509
31686152,76be5f73-da6c-4250-8a73-b85cd8524577,2019-08-15 1:05:21 PM EDT,2019-08-15,2019-08-15 17:05:21 UTC,Eastern Time (US & Canada),1815976,tazzy1,,2019-08-28 19:23:03 UTC,2019-08-29 05:33:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31686152,https://inaturalist-open-data.s3.amazonaws.com/photos/49616505/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3346214294,-70.759262085,,,,,,,,false,gps,gps,,Clavulinopsis,Clubs and Corals,Fungi,55244
32417884,23792790-ccef-4ad5-8433-366a5a5ac893,Mon Sep 09 2019 12:36:12 GMT-0400 (EDT),2019-09-09,2019-09-09 16:36:12 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2019-09-09 16:37:00 UTC,2025-09-29 18:35:55 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/32417884,https://inaturalist-open-data.s3.amazonaws.com/photos/50842647/medium.jpg,,"",,0,0,false,3,"Greenwood, ME, US",44.3334837584,-70.7568852883,10,,,,10,,,false,,,,Caulophyllum thalictroides,blue cohosh,Plantae,84330
89249179,b6fb9a42-00b9-4061-b8a4-07f3f4b98cde,Fri Jul 30 2021 12:10:21 GMT-0400 (EDT),2021-07-30,2021-07-30 16:10:21 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-07-30 22:13:33 UTC,2021-11-08 00:47:10 UTC,research,,https://www.inaturalist.org/observations/89249179,https://static.inaturalist.org/photos/147363088/medium.jpg,,"","",1,0,false,3,"Oxford County, US-ME, US",44.3318946753,-70.75174517,98,,,,98,,open,false,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
89426371,f34fa859-d846-4c23-8914-d0addffb5b30,Fri Jul 30 2021 11:49:02 GMT-0400 (EDT),2021-07-30,2021-07-30 15:49:02 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-08-01 02:53:30 UTC,2021-08-01 02:53:59 UTC,needs_id,,https://www.inaturalist.org/observations/89426371,https://static.inaturalist.org/photos/147673169/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.332745,-70.75595,10,,,,10,,open,false,,,"",Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
89427134,75582e04-5e12-4dd8-8a62-f05660d241bb,Fri Jul 30 2021 11:50:18 GMT-0400 (EDT),2021-07-30,2021-07-30 15:50:18 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-08-01 03:01:47 UTC,2023-07-24 14:40:15 UTC,needs_id,,https://www.inaturalist.org/observations/89427134,https://static.inaturalist.org/photos/147674528/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.332425,-70.7562866667,200,,,,200,,,false,,,Coral Fungi,Ramaria,Coral Fungi,Fungi,48707
92010914,3707c4d1-5673-47a7-8ca0-441097e8fb2c,2021-08-21 10:02:35,2021-08-21,2021-08-21 14:02:35 UTC,Eastern Time (US & Canada),4282247,varsha_desai,Varsha Desai,2021-08-21 20:14:25 UTC,2021-08-21 20:14:45 UTC,needs_id,,https://www.inaturalist.org/observations/92010914,https://static.inaturalist.org/photos/152278123/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3342859722,-70.7593109722,,,,,,,,false,gps,gps,Waxcaps,Hygrocybe,Waxcaps,Fungi,51871
