id,observed_on,place_guess,latitude,longitude,quality_grade,taxon_id,rank,scientific_name,common_name,native,threatened,observation_photo,location
302588169,2025-07-30T12:39:04-04:00,"Sunburn River Valley Lane, Greenwood, ME, US",44.3323666667,-70.7534633333,research,47588,species,Cypripedium acaule,pink lady's slipper,True,False,https://static.inaturalist.org/photos/545336771/square.jpg,"44.3323666667,-70.7534633333"
302587880,2025-07-30T12:43:35-04:00,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321416667,-70.75235,needs_id,136399,species,Pleurotus pulmonarius,pale oyster,False,False,https://static.inaturalist.org/photos/545336179/square.jpg,"44.3321416667,-70.75235"
299925016,2025-07-21T15:31:25-04:00,"Sunburn River Valley Lane, Greenwood, ME, US",44.333739888,-70.7521552102,needs_id,417398,species,Turbinellus floccosus,Scaly Chanterelle,True,False,https://static.inaturalist.org/photos/540363605/square.jpg,"44.333739888,-70.7521552102"
299923041,2025-07-21T15:24:46-04:00,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321741352,-70.7517509424,needs_id,125389,species,Amanita flavoconia,Yellow Patches,True,False,https://static.inaturalist.org/photos/540359920/square.jpg,"44.3321741352,-70.7517509424"
299919162,2025-07-21T15:09:43-04:00,"Greenwood, ME, US",44.3324829631,-70.7556802783,needs_id,118273,species,Psathyrella piluliformis,Common Stump Brittlestem,True,False,https://static.inaturalist.org/photos/540352402/square.jpg,"44.3324829631,-70.7556802783"
299917091,2025-07-21T15:03:02-04:00,"Greenwood, ME, US",44.3341341175,-70.7587098255,needs_id,84330,species,Caulophyllum thalictroides,blue cohosh,True,False,https://static.inaturalist.org/photos/540349176/square.jpg,"44.3341341175,-70.7587098255"
299915205,2025-07-21T14:56:36-04:00,"Albany Twp, ME, US",44.3339492679,-70.7585653038,needs_id,371588,species,Russula paludosa,Hintapink,True,False,https://static.inaturalist.org/photos/540345550/square.jpg,"44.3339492679,-70.7585653038"
299913285,2025-07-21T14:49:50-04:00,"Vernon St, Albany Twp, ME, US",44.3357045461,-70.7617415073,research,49477,species,Monotropa uniflora,Ghost Pipe,True,False,https://static.inaturalist.org/photos/540341840/square.jpg,"44.3357045461,-70.7617415073"
298678452,2025-07-11T16:28:50-04:00,"South Oxford, ME 04217, USA",44.3320757997,-70.7519551997,needs_id,417398,species,Turbinellus floccosus,Scaly Chanterelle,True,False,https://static.inaturalist.org/photos/538029898/square.jpg,"44.3320757997,-70.7519551997"
298678401,2025-07-11T16:25:54-04:00,"South Oxford, ME 04217, USA",44.3319147997,-70.7529478997,needs_id,120181,species,Oclemena acuminata,whorled wood aster,True,False,https://static.inaturalist.org/photos/538029765/square.jpg,"44.3319147997,-70.7529478997"
298678359,2025-07-11T16:23:33-04:00,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,needs_id,49490,genus,Cladonia,pixie cup and reindeer lichens,True,False,https://static.inaturalist.org/photos/538029714/square.jpg,"44.3322137997,-70.7537860997"
298678335,2025-07-11T16:23:26-04:00,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,needs_id,49490,genus,Cladonia,pixie cup and reindeer lichens,True,False,https://static.inaturalist.org/photos/538029662/square.jpg,"44.3322137997,-70.7537860997"
298678300,2025-07-11T16:18:42-04:00,"South Oxford, ME 04217, USA",44.3319197,-70.7537655,needs_id,418164,species,Eriocampa ovata,Alder Sawfly,False,False,https://static.inaturalist.org/photos/538029556/square.jpg,"44.3319197,-70.7537655"
